data,valor,taxa_anual
1986-06-04,0.065041,17.803764440704263
1986-06-05,0.067397,18.50479430304155
1986-06-06,0.06674,18.308886638735224
1986-06-09,0.068247,18.758731216757283
1986-06-10,0.067041,18.39860030601226
1986-06-11,0.06674,18.308886638735224
1986-06-12,0.066575,18.259736784698145
1986-06-13,0.066164,18.137397371786037
1986-06-16,0.066493,18.23531836223673
1986-06-17,0.066247,18.16209322241289
1986-06-18,0.066301,18.178163163241457
1986-06-19,0.066164,18.137397371786037
1986-06-20,0.066055,18.104973280214743
1986-06-23,0.06611,18.121332952329805
1986-06-24,0.066027,18.09664558679436
1986-06-25,0.066493,18.23531836223673
1986-06-26,0.066411,18.21090496172555
1986-06-27,0.066301,18.178163163241457
1986-06-30,0.066603,18.26807593297415
1986-07-01,0.06663,18.27611780922309
1986-07-02,0.068301,18.77488197699886
1986-07-03,0.073973,20.483550436428043
1986-07-04,0.083178,23.308780508512793
1986-07-07,0.083315,23.35132355965723
1986-07-08,0.083151,23.30039783567941
1986-07-09,0.084411,23.692194695365142
1986-07-10,0.085096,23.90571543232074
1986-07-11,0.085151,23.92287534651434
1986-07-14,0.085178,23.931300170607095
1986-07-15,0.084767,23.80311735673313
1986-07-16,0.084849,23.828680994042163
1986-07-17,0.084849,23.828680994042163
1986-07-18,0.085014,23.88013595487397
1986-07-21,0.085041,23.888557884875915
1986-07-22,0.08526,23.956890170796854
1986-07-23,0.08789,24.780439935210996
1986-07-24,0.088164,24.866552257283626
1986-07-25,0.088438,24.95272377041111
1986-07-28,0.088849,25.08209211198047
1986-07-29,0.088849,25.08209211198047
1986-07-30,0.088795,25.065087202032732
1986-07-31,0.088849,25.08209211198047
1986-08-01,0.088986,25.125244531954195
1986-08-04,0.089315,25.22893390755332
1986-08-05,0.089671,25.341229155982692
1986-08-06,0.090219,25.51428418901085
1986-08-07,0.093644,26.601282882900335
1986-08-08,0.110356,32.041196733313335
1986-08-11,0.127644,37.91367539826416
1986-08-12,0.126575,37.54312284972383
1986-08-13,0.129315,38.49489498111276
1986-08-14,0.129589,38.59043224079872
1986-08-15,0.132082,39.46270308338882
1986-08-18,0.132932,39.76135620056247
1986-08-19,0.132521,39.61686917823815
1986-08-20,0.132301,39.53958933691906
1986-08-21,0.132904,39.751508076641585
1986-08-22,0.133123,39.82855291668139
1986-08-25,0.133041,39.79970012355742
1986-08-26,0.133014,39.79020111142248
1986-08-27,0.133068,39.80919977860684
1986-08-28,0.132986,39.780350963044086
1986-08-29,0.13326,39.876771426338834
1986-09-01,0.130959,39.069104072623674
1986-09-02,0.131178,39.1457741938118
1986-09-03,0.131562,39.28031111928543
1986-09-04,0.13126,39.174492559722495
1986-09-05,0.131342,39.20321682929784
1986-09-08,0.131151,39.13631943827593
1986-09-09,0.131425,39.23229740819074
1986-09-10,0.131315,39.19375818610871
1986-09-11,0.131315,39.19375818610871
1986-09-12,0.131315,39.19375818610871
1986-09-15,0.131315,39.19375818610871
1986-09-16,0.131315,39.19375818610871
1986-09-17,0.131973,39.42445122483535
1986-09-18,0.13211,39.472530936243075
1986-09-19,0.132356,39.558905302039335
1986-09-22,0.132575,39.635844381580895
1986-09-23,0.132904,39.751508076641585
1986-09-24,0.132548,39.62635645884771
1986-09-25,0.132767,39.703332576695985
1986-09-26,0.132685,39.674505519569635
1986-09-29,0.132904,39.751508076641585
1986-09-30,0.132986,39.780350963044086
1986-10-01,0.066685,18.292501093798585
1986-10-02,0.071945,19.869829351649383
1986-10-03,0.076767,21.334210701294065
1986-10-06,0.08337,23.36840699919167
1986-10-07,0.083836,23.513244924450284
1986-10-08,0.084411,23.692194695365142
1986-10-09,0.086055,24.20526136643788
1986-10-10,0.086356,24.29942807356056
1986-10-13,0.08611,24.222462600428663
1986-10-14,0.08611,24.222462600428663
1986-10-15,0.086301,24.282216224369833
1986-10-16,0.086493,24.342311548403316
1986-10-17,0.086192,24.248112482522032
1986-10-20,0.086411,24.316642296960644
1986-10-21,0.086356,24.29942807356056
1986-10-22,0.086356,24.29942807356056
1986-10-23,0.086301,24.282216224369833
1986-10-24,0.086301,24.282216224369833
1986-10-27,0.086356,24.29942807356056
1986-10-28,0.086438,24.32509378466714
1986-10-29,0.086384,24.308191381504574
1986-10-30,0.086493,24.342311548403316
1986-10-31,0.090055,25.46246905806051
1986-11-03,0.112685,32.81756733237793
1986-11-04,0.115041,33.607564489337285
1986-11-05,0.115123,33.63514426655287
1986-11-06,0.115041,33.607564489337285
1986-11-07,0.114575,33.450938256293284
1986-11-10,0.113452,33.07424019703651
1986-11-11,0.110822,32.196174941828474
1986-11-12,0.111205,32.32368537233374
1986-11-13,0.111342,32.369325893683865
1986-11-14,0.111781,32.515681095480645
1986-11-17,0.112219,32.661863539653105
1986-11-18,0.112164,32.643498482128265
1986-11-19,0.112192,32.65284764950944
1986-11-20,0.111233,32.33301208753936
1986-11-21,0.112192,32.65284764950944
1986-11-24,0.115041,33.607564489337285
1986-11-25,0.123397,36.44736361934895
1986-11-26,0.134986,40.48567482178562
1986-11-27,0.138,41.55529981047881
1986-11-28,0.140438,42.4264421119521
1986-12-01,0.199096,65.07391013074779
1986-12-02,0.234822,80.58975836981328
1986-12-03,0.225699,76.4946890632828
1986-12-04,0.21937,73.70824152640046
1986-12-05,0.220575,74.23536437377345
1986-12-08,0.228575,77.77556450143013
1986-12-09,0.243342,84.49956782073681
1986-12-10,0.246658,86.0439652504309
1986-12-11,0.238274,82.16382901792672
1986-12-12,0.238274,82.16382901792672
1986-12-15,0.238411,82.22658052628158
