"data";"valor"
"14/04/2026";"0,054266"
"15/04/2026";"0,054266"
"16/04/2026";"0,054266"
"17/04/2026";"0,054266"
"20/04/2026";"0,054266"
"22/04/2026";"0,054266"
"23/04/2026";"0,054266"
"24/04/2026";"0,054266"
"27/04/2026";"0,054266"
"28/04/2026";"0,054266"
"29/04/2026";"0,054266"
"30/04/2026";"0,053400"
"04/05/2026";"0,053400"
"05/05/2026";"0,053400"
"06/05/2026";"0,053400"
"07/05/2026";"0,053400"
"08/05/2026";"0,053400"
"11/05/2026";"0,053400"
"12/05/2026";"0,053400"
"13/05/2026";"0,053400"
